일주,항목,내용,남자,여자,조건,결과,조건식
丙寅,11,丙寅일주는 고혈압. 장 계통(치질. 변비 등). 시력. 기관지 등의 질병을 조심해야 하며. 신경통이 염려되니 무리한 일은 피하고 탕화(湯火)의 영향으로 화상과 신경과민. 정신이상을 조심해야 한다. 몸에 화상의 흉터가 있으면. 화마(火魔)는 피한다. </br>丙: 소장(小腸). 어깨</br>寅: 쓸개. 손. 머리카락 ,,,,,
丙寅,12,식신(食神). 편인(偏印). 역마(驛馬)의 영향으로 외교계(壬水) 희신이 투출하면 외교관에 준함). 법정계. 교육계. 군경 등으로 진출하는 경우가 많고. 사업 분야는 전자통신. 육영사업. 유흥업. 스포츠 등의 계통이 적합하다. ,,,,,
丙寅,13,◈ 일주론 해석 - 丙寅 (병인) 일주</br></br>병인은 학당입니다. 장생궁 아닙니까.  임신이나 계묘일생이 다 학당귀인이죠. 장생은 누구나 귀여워합니다. 그러니까 배우자의 사랑을 받는 겁니다.</br>인수 갑목이 건록이니 지성이 걸출하고 활동이 왕성하며 대개 따르는 이성이 적지 않습니다.</br>무엇보다 좋은 점은 무토 식신이 장생을 얻었다는 겁니다. 의식에는 문제가 없다는 뜻이지요. 하지만 재성 경금은 절지에 놓입니다. 이러한 겁살은 연살과 곧잘 합작되는데 이럴 때 주로 바람을 피웁니다. 식신은 장생. 재성은 절지. 이런 경우가 성정 상 특징은 간단합니다. 자수성가요. 언행일치가 잘 안됩니다. 수완가임에는 틀림없지만 침착성의 결여로 경솔한 점을 후회할 때가 있습니다.</br>인목에서는 관이 역마가 됩니다. 그래서 유학이나 해외와 인연이 깊습니다. 교육자로 진로를 정하면 최적입니다. ,,여명의 남편 임수는 병지에 속합니다. 상황이 이러하면 남편이 덕이 있어도 떨어져 사는 경우가 많습니다. 여성의 성격은 좋습니다. 다정다감하고 활동적이지요. 자비심과 동정심이 있지만 다소 이기적인 성향도 있습니다. 이것은 식신이 장생하는 까닭입니다. 물론 자식은 건강하고 온전합니다. 이 사람이 여행을 떠나면 이성의 인연을 맺기 쉽습니다. 이래저래 병인이 홍염인 까닭이다 이런 연유입니다. 친정어머니는 건재하지만 시어머니와는 인연이 박하겠지요.,,,
丁卯,01,명랑하고 밝은 모양에. 매사에 활동력이 있고 능동적으로 대응하는 성품입니다. 다재다능하고 눈치가 빨라 매사에 적응력도 강하고 성취도 남다른 편입니다. 항상 마음속에 고상한 것을 기대하고 살아가는 운에. 어려운 것을 보면 참지 못하고 적극적인 동정심도 발휘할 수 있습니다. 근본 성품이 부드럽지만 융통성과 발표력에 적극성을 지니고 있으며. 매사에 눈치가 빠르고 적응력이 강하여 어떠한 상황을 만나더라도 능히 극복해 나가는 힘이 있습니다. 다방면에 소질을 발휘하는 재능이 있으며 사회성도 뛰어나고 적응력도 좋을 운입니다. ,,,팔자에 유금이 있으면.,자식의 수가 적거나 자식이 드문 경우가 많습니다. ,if (sj_ganji.includes('酉')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,01a,,,,팔자에 목이 많으면 ,외국어에 대한 감각이나 남다른 능력을 보입니다. ,if(nr_oh1>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,02,대체로 모친인연 강하고 부친 인연은 약할 운에 어머니의 간섭 때문에 인생 진로영향을 받거나 마음에 고통을 당하는 수가 많습니다. ,자식운 남자는 아들. 딸 고른편에 아들과 유정합니다. ,자식운 여자는 딸과 유정하고 딸이 많은 경우가 많습니다. ,목. 화의 글자가 많으면. ,모친의 기가 강하여 부친에 여러 가지 장애가 오든지 모친이 사회 활동을 통하여 생활을 꾸려 나가는 경우가 많습니다. ,if(nr_oh1>2 && nr_oh2>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,02a,,,,팔자에 목이 많으면.,자식이 드물게 오는경우가 많습니다. ,if(nr_oh1>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,03,인내 노력도 기본 수준을 유지하고. 재능도 여러 방면에서 보이므로 소년에 집중이 약하여 성적이 다소 저조 하더라도. 세월이 가면서 점점 실력이 좋아지는 운입니다. 두뇌가 늦게 더디게 발달하는 사람들도 있는데 세월이 가면서 성적에 상승 발전이 이루어지는 경우가 많습니다. 항상 고상한 것이나 이상을 추구하는 형입니다. 다양한 재능을 보이기도 하고 늦게라도 학문을 이루는 별이 있어 다학위 취득도 가능하게 합니다. ,성공의 전공길 남자는 법학. 의.약학. 어학. 철학. 역사학. 교육학. 윤리학 등이 좋습니다. ,성공의 전공길 여자는 어학. 교육. 인문과학. 자연과학. 특수교육. 의.약학 등이 좋습니다. ,팔자에 수가 부족한 경우에는.,해외 학위 인연도 좋습니다. ,if(nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,04,편인은 융통성과 눈치를 의미하므로 이성에 대한 감각이 뛰어나지만. 적극적인 표현이 부족하여 이성 교제나 결혼이 늦어지는 경우가 많습니다. 남녀 공히 좋은 배필 인연보다 보통의 배필 인연이 깊습니다. ,남자는 이성교제나 결혼이 늦어지는 경우가 많습니다. </br>좋은 배필 인연으로 남자는 토끼띠. 말띠. 양띠. 원숭이띠. 닭띠. 개띠. 돼지띠 여자가 되고. </br>남자는 결혼이후 자신에 대한 집착과 자기중심의 활동이 배필과 갈등을 부르기도 합니다. ,여자는 일찍 연애가 오는 경우가 있으나 결혼으로 연결되는 경우는 드문 편입니다. </br>좋은 배필 인연으로 여자의 경우는 쥐띠. 범띠. 토끼띠. 말띠. 양띠. 닭띠. 개띠. 돼지띠 남자가 좋은 인연이 됩니다. </br>여자는 결혼이후 배필 건강이 좋았다. 나빴다 하는 수가 있습니다. ,,,
丁卯,05,일지 편인은 편업에서 재능과 능력 발휘가 많으므로 자기사업 중에 전문 자격사업 (변호사. 의사. 건축사 등)에서 많이 나타납니다. 조직 직장길은 법률 관련. 토목 관련. 허가 관련. 의료 관련. 기타 전문분야에서 조직 직장길 또는 연구직. 교수직 등으로 직업을 삼습니다. 사업길도 상기 분야와 같고 자유업. 자격사업 등에 인연합니다. 대체로 전문성을 지니므로 재물이 꾸준한 수준을 이룩되다가 큰 재물 인연도 있어 보는 운입니다.,,,,,
丁卯,06,성공이 있다가도 인간에 대한 배신. 기만. 사기에 말려들어 고통을 당하여 보는 경우가 많습니다. 다재 다능의 자기 자신에 대한 과신이 병이되어. 화를 자초하는 경우도 많으니 각별히 주의 하여야 합니다. 예감이나 영감이 탁월하여 사물을 보는 시각이 남다른 특징을 가집니다.,,,,,
丁卯,07,달 속에 토끼 로 가깝고 정겨운 이미지입니다. 이 사람은 인정이 많고 명석하지만. 한편으로는 질투가 심한 다변적인 성품을 지닌 경우가 많습니다. 분주하고 변화가 많지만 대개 지구력이 강하지 않으므로 용두사미의 결과를 보기 쉽습니다. 참모가 제격이고 자성일가는 어렵습니다. 어떤 옷을 입어도 잘 어울리는 멋과 센스를 타고나며. 색정이 강해 여러 이성과 교제하지만 끝내는 헤어져 혼자로 남을 때가 많습니다. 비뇨기 계통이나 특히 안질에 유의해야 합니다. 눈에 이상이 생기면 심장과 마음에 병이 옵니다.,,,,,
丁卯,08,4.丁卯 (甲 10 乙20)</br>病 태극귀인(太極貴人) 효신(梟神)</br></br>일지 인수(印綬)는 지적 수준이 높고 지혜와 총명을 나타내며 중년 이후에도 변함없는 학구열을 암시한다. 인정 많고 똑똑하며 포부와 야망은 대단하지만 식상(食傷)의 부재로 추진력이 없어 무슨 일이든 주저하기 쉽고 자신의 능력에 비해 성과 면에서는 실속 없는 결과로 나타나기 쉽다. 문곡(文曲)이 있어 영리하고 학업에 우수한 자질을 타고 나지만 용두사미(龍頭蛇尾)의 성향을 극복하기 어렵다. 대체로 卯는 조(燥). 寅은 습(濕)을 기뻐하는데. 습하여 생화(生火)가 잘 되지 않으면 늘 마음이 불안하고 득(得)이 없다.</br>일지 효신(梟神)의 의미는 인정이 많아 남 주기를 좋아하는 속성 이면에 편을 가르는 냉정함이 상존한다. 이해타산이 분명하여 매사 욕망이 대단하지만 겉으로는 쉽게 나타내지 않는다. 외면은 온순하게 보이나 승부의 기질이 내재하여 저돌성이 있고. 늘 기회를 엿보는 상이다. 두뇌 회전이 빠르고 선견지명(先見之明)이 있으므로 초반에는 늘 남보다 앞서나가는 편이다.</br>일지 도화(도화)를 놓아 남여 공히 배우자의 미모는 기대 이상이며 멋과 풍류를 즐길 줄 안다. 그러나 사치와 주색풍파(酒色風波)에 쉽게 빠지기 쉽다. 혈육간에 생리사별하고. 친모(親母)로 인한 걱정은 평생을 두고 떠나지 않는다. ,남성은 배우자 자리에 인수(印綬)가 자리하니 대개 고부(고부)갈등을 초래한다. ,여성은 자존심이 강하고 시모와의 갈등으로 이혼(離婚). 재가(再嫁)가 염려되며. 패지(敗地) 도화(桃花)의 작용은 어떤 옷을 입어도 잘 어울리는 센스를 타고난다. ,,,
丁卯,09,1. 달 빛 아래의 토끼는 인정이 많고. 눈치가 빠르므로 신속하게 성공하는 유형이다.</br>2. 일지 효신(梟申)에 현침(懸針)은 중년 이후 부부의 인연이 바뀜을 의미한다.</br>3. 인정 많고. 똑똑하며 화끈한 편이지만. 신경질적이고 질투가 심한 다변적인 성품이다. ,,,,,
丁卯,10,,男命은 호색(好色)함에 비해 성생활은 자기의 기분에만 충실한 유형으로 상대의 불만을 사기도 한다. ,女命은 상대와 동조(同調)하는 형으로 상대에 따라 변화가 큰 유연함이 강점이다. 파트너의 기질에 맞게 대응한다. 행위 자체보다는 행위를 통한 정신적인 사랑을 희구한다. 색정이 강한 편으로 다양한 이성을 거치기 쉬우나 결국은 과부가 된다는 고독함이 암시된다. ,男命은 신약(身弱)이 지나치면. ,생각만 많지. 본인의 뜻대로 되지 않을 때가 있다. 간혹 변태적인 성향을 드러내기도 한다. ,if(balance[1][4]==='극신약'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁卯,11,丁卯일주는 심장이 약하고. 시력이 약한 경우가 많다. 심장. 저혈압. 당뇨병 등의 질병을 조심해야 하며. 간에 질병이 생길 수 있으니 음주는 삼가는 것이 좋으며. 子時 생이면 성병(性病)에 유의해야 한다.</br>丁: 심장(心腸)</br>卯: 간(肝). 좌측갈비. 손가락 ,,,,,
丁卯,12,책과 관련이 깊다. 교육. 행정. 의료. 문화 예술 계통으로 진출하는 경우가 많고. 사업 분야는 유흥업. 종교. 언론. 원예 등의 계통이 적합하다.,,,,,
丁卯,13,◈ 일주론 해석 - 정묘 (丁卯) 일주 </br></br>인수가 병지인 정묘일생은 중년 이후에도 변함없는 학구열을 암시합니다. 문곡으로 배움을 위한 먼길을 마다하지 않습니다. </br>하지만 배우자의 병환이나 이별 둘 중 하나의 상황은 피하기 어렵습니다. </br>진로는 기대이상으로 잘 열리지 않습니다. </br>임수 관성이 사지에 놓이므로 추진력이나 활동력 면에서는 상대적으로 미약한 경향이 있습니다.</br>일단 묘목에 재성은 재살로 인종되고 인수는 왕지에 좌합니다. 정묘생은 자묘형이나 자유파를 중하게 봅니다. 특히 자수는 절지에 속하며 정화를 습하게 하는 까닭으로 불리합니다. ,남자는 고부갈등을 피할 도리가 없습니다. 36금수에 묘목은 고슴도치에 비유되듯 배우자와는 사이가 멀어지는 딜레마가 있습니다.</br>배우자궁에 묘파성이 들면 좀체 부부 사이의 화락을 기대하기 어렵습니다. </br>보통 인수의 성분이 혼잡하면 인정이 많아 잘 베풀면서도 이해타산이 분명한 경향이 있습니다.,여성은 자존심이 강합니다. 이것은 인수의 특징입니다. 그리고 미모가 출중하고 멋과 풍류가 넘칩니다. 상관이 욕지에 놓이는 까닭입니다.</br>재성인 시모는 재살이고. 인수인 친모는 왕지에 놓여 시모와의 관계가 악화되기 쉽습니다. 관이 사지에 놓인 이상 심하면 이혼과 재가하는 수가 있습니다. ,여명(女命)은 유시(酉時) 생이면. ,자식 하나를 잃거나 자녀를 두기 어렵습니다. ,if (gendr === '여음' && sj_tj === '酉'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊辰,01,만물을 포용하고 생산하는 힘과 완연한 봄의 기운이 만났으니 그 뜻이 재물과 명예에 있어서 적극적인 생산을 의미합니다. 매사에 적극적인 활동력이 있으며. 항상 고상한 것에 관심을 가지는 편입니다. 또한 자존심도 강하고. 재물에 대한 실리도 추구하는 형입니다. 경쟁의 논리 또한 뛰어난데. 타인과의 기본적인 예의 속에서 경쟁을 이루는 형입니다. 명예심. 재물에 대한 집착. 경쟁심이 적당히 조화되어 있으므로 세속적인 성공이 따르는 형입니다.,,,,,
戊辰,02,모친보다 부친인연이 짧을 운에. 백호살이 임하므로 부모인연이 고르지 못하던지. 부친을 갑작스런 병고. 사고로 잃을 수도 있습니다. 또한 모친 인연은 길더라도 유정하지 못한 경우가 많습니다. 배우자를 방해하는 별로 부부 유정이 부족하지만 인연은 긴 편입니다. ,남자는 대체로 아들. 딸 고르게 둡니다.,,여자는 팔자에 금의 글자가 있으면.,좋은 자식이 옵니다. ,if(gendr === '여음' && nr_oh4>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊辰,03,지지 비견은 경쟁의 논리가 되므로. 대체로 경쟁이 있을 때 마다 학문 발전이 있을 것을 의미합니다. 돈이 되는 학문에 관심을 보이고. 경쟁에 의한 학문이라 긴 공부. 큰 시험에는 성적이 저조할 수 있습니다. 오랫동안 공부하는 형은 아닙니다.,성공의 전공길 남자는 행정. 상과. 예술. 스포츠. 공학 등 다양한 전공이 됩니다. ,성공의 전공길 여자는 행정. 상과. 가정 관리. 어학 등이 됩니다. ,팔자에 화가 없으면. ,경쟁심은 있어도 인내. 노력이 부족하므로 학문 발휘가 저조할 수 있습니다. ,if(nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊辰,03a,,,,팔자에 목과 화가 적당하면.,좋은 학교 인연도 됩니다. ,if(1<nr_oh1<4 && 1<nr_oh2<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
